,Unnamed: 0,dataset,training_set_size,records in dataset,experiment_id,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
83,83,sleep_edf,448,197,84751fb5-6d67-4ba4-ae4a-2783a05966f5,0.8081618577814785,0.7408912669210082,0.8011142698572199,0.7437504901961659,0.7704507719871889
84,84,cap,28,106,a03ea87f-06ce-4419-9b8f-553d654b3491,0.6750891963830631,0.56443210270544,0.675603496616944,0.6077399575683823,0.6132134920567458
85,85,dodh,14,25,1b0d9a7a-e385-4f48-8c1b-1e90d9a1ffe4,0.7907306787770659,0.6965554321242831,0.7877534797428066,0.727497024966515,0.7291625472155153
86,86,mesa,224,2053,3d37baf9-ef96-4e22-897c-ffa1be0fdd43,0.8178845229262958,0.7365010217047141,0.8175304234844842,0.7235106009258071,0.7396210888631826
87,87,shhs,56,2651,74faf440-3eb2-4404-a9be-9e2929d9e1ab,0.7886878763218549,0.7007601347011472,0.7921570973285869,0.6934144189421161,0.7083224393317245
88,88,shhs,56,2651,77a8f914-248f-4843-9ad7-0ffefec18769,0.7873899679801042,0.7009668647882417,0.7919047755662699,0.6942474407557688,0.7184786073577334
89,89,mros,28,586,def37e84-d79b-4d90-b1b1-acbec1b4a18f,0.7743547244931741,0.6405848975269576,0.7874580344275135,0.5852256163612681,0.6361283359640801
90,90,mesa,112,2053,15fee1dd-1c79-4af4-8330-0b9f45b3c40a,0.787381666643626,0.6948176599827949,0.7891710835996733,0.6919128966817746,0.7224529911860997
91,91,cap,112,106,faf663b7-0943-49f7-815a-f2f31b6ab85f,0.6887942914314841,0.5835149558897907,0.6917194554645263,0.6303268777230479,0.6404353236725967
92,92,cap,224,106,f47d5d3f-ecb6-476d-97a0-17f6d68d8e89,0.7199044796405716,0.6272740748464316,0.7279795040101599,0.6630495781193116,0.6744735682031037
93,93,mros,14,586,607775c9-6013-4d1b-ab03-65f84f976466,0.639670659010837,0.4576399462041695,0.67620027420037,0.4827242054243415,0.5604692889246942
94,94,mros,28,586,b6d37289-4bec-4250-85de-cd26fa93d930,0.7819930150419953,0.6446550107138007,0.7901009937642176,0.5901162927973622,0.6265253170296787
95,95,dodo,224,55,5b9f8b51-d4eb-4e46-9c1b-1c50598dc52c,0.8263956721015854,0.7587731506479646,0.8376924080348082,0.7815775362495264,0.8453112881548822
96,96,dodh,112,25,dd03c7b2-f1cf-4d7c-8bfd-c3aee116d357,0.8656637742275566,0.8084418032062721,0.8667637967328529,0.8295817864424505,0.8433625716689555
97,97,mass,448,115,a8eee587-8c70-4a7c-b62b-5e5ca660f945,0.8222945484133442,0.7516189490901186,0.8213677912287821,0.7840642673348416,0.8018015791505484
98,98,cap,56,106,5405bbf4-9922-46db-bb96-275488d5995a,0.6808374077360164,0.5737744073689598,0.6826685407451331,0.6243199720691133,0.6379930318761848
99,99,dodo,224,55,ff134ef8-a146-445c-b401-f30e698eceaf,0.8348673829739274,0.7687819996185319,0.8450504802436283,0.7885995992090516,0.8442336742503416
100,100,mesa,448,2053,69e5df3d-3b95-4d73-b0eb-79567c34dad0,0.8272763090591547,0.7495371348902593,0.8255164138308625,0.7303135645288311,0.7365813768770348
101,101,sleep_edf,448,197,d1afc02c-7670-46a0-930f-8133d4be91ee,0.802375215001535,0.7339042039002609,0.7952948580225246,0.7380350178228458,0.7691065322058406
102,102,shhs,28,2651,266985cd-e5ec-4675-bf01-3e2e2f876481,0.7878206118288333,0.6967444969571566,0.7874675304840703,0.6677642208268526,0.6711821856723132
103,103,mesa,112,2053,d025d908-5cd6-454d-8578-9535fa023d6c,0.7902114524723473,0.6961122063219516,0.785805234117987,0.6788517701714388,0.6953790867480777
104,104,dodo,112,55,5329cf13-924f-4d31-8c8c-e272a140ff28,0.8231835599969946,0.7523063634005184,0.8353649725244104,0.7771772444805161,0.8327442969672394
105,105,mass,224,115,0a0fc21e-8911-436e-8194-de473246b6a9,0.8114456197450501,0.7371083656304445,0.8107477335087067,0.7723174936452564,0.7933218690499724
106,106,shhs,112,2651,d3a985d7-2152-4549-98fa-d1342f79caf9,0.7989185774849078,0.7189641409828835,0.8068763801017094,0.7071173961762878,0.7425515686193639
107,107,mesa,896,2053,23ea589f-c452-4083-b2d2-53a9cddcaefa,0.8417650889909849,0.7692477936148839,0.8395594117914452,0.7496170820171735,0.7531556773290771
108,108,mass,448,115,564f89ba-0019-4ff4-b249-66c45af00a2e,0.8136606093481602,0.7397087413124341,0.8127453943981438,0.7742231437965069,0.7939724836457726
109,109,cap,896,106,6153b8b0-120a-4202-be58-9faa8b77f2f3,0.7086534649727221,0.6120219340801352,0.7153467007335969,0.6530211241635914,0.6652871761974918
110,110,sleep_edf,224,197,5c5d5e17-dc87-48f6-be12-04453f39b027,0.8037251512895887,0.7358981946782819,0.79826174667648,0.7432401750766768,0.7718438591580618
111,111,mros,28,586,c1d6393e-5921-4db5-9546-a5d0c36aa1a3,0.7922292890294942,0.6621515647772802,0.7999600142213822,0.6037713392445029,0.6391038235867283
112,112,sleep_edf,112,197,e0e852c4-9589-4a24-be39-89bf7c3a9010,0.8041456921892939,0.7343653700927539,0.7974654686164088,0.7404781548809805,0.7595102779617461
113,113,shhs,224,2651,997494dc-098f-41db-8b5f-7f7f9f64c966,0.8370942581554162,0.7712171602858131,0.8453336898991612,0.7482591526924842,0.7840719000292367
114,114,shhs,896,2651,d5e37ff2-8fa3-4042-b659-197db4ab00ce,0.8534628137935634,0.7936900316928488,0.8613649874813473,0.7619178777129691,0.7939608168492484
115,115,mass,28,115,ce11170b-bb23-4abc-a0e1-c6d8d4cd85ba,0.7891239490100352,0.6999786881902001,0.7797705143694569,0.7273653426870116,0.7368922107974866
116,116,mass,14,115,9c5d8f9f-fe74-4b26-bc32-1c70e0ac21ef,0.7204321489919537,0.5955725434131152,0.7059479882034373,0.6334202620706896,0.6339684325646839
117,117,dodh,56,25,b29e4aa7-eaad-48cc-b394-6c5b0ced5354,0.8465655664585192,0.7869540094264161,0.8493489687963953,0.8160696644951155,0.8537690254383788
118,118,sleep_edf,224,197,08a6669f-5317-4a94-a330-a92512c20090,0.7940358889603808,0.7251562919277068,0.7898147721850237,0.7357308636369428,0.7738866855510723
119,119,mros,448,586,9491d62f-68a8-4035-a21f-546b0bdf9ac0,0.8603392067490567,0.7709830585534029,0.8663783017852554,0.7171339266664761,0.7286757895817051
120,120,mros,896,586,10d3591a-ff8e-476d-b1ff-6c6ffb9e5901,0.8585195221464386,0.7702195102207242,0.8667332097893319,0.7255443946247678,0.7655507038558502
121,121,dodo,28,55,ee8be2fd-69b4-4989-b988-0d36c02b148f,0.8329889548425877,0.7558621358889795,0.8319843674527659,0.7585306545598283,0.7606232168830773
122,122,dodo,28,55,1ac070ae-47bc-45fd-b310-569f5898a2e5,0.8168344729130663,0.73735012622136,0.8198361298307719,0.7526189365054339,0.7758462767815019
123,123,mass,448,115,36b02dae-1efa-419f-b5d4-04c981f750fe,0.8246541903986981,0.7553490120023041,0.8239646131309213,0.7873824224282889,0.8063554477850055
124,124,mass,56,115,b207621c-6fec-4142-bddf-9f1e9854194d,0.8078473917367327,0.7262029688743958,0.8054994328493841,0.7611771192483318,0.7610066429523742
125,125,dodo,896,55,eaf08b9f-01f8-4fc1-8984-a29db6e3af39,0.8396010218649035,0.7743978065550204,0.8473009039774847,0.7911806656660489,0.8394225707740708
126,126,dodh,448,25,e60fbab3-260c-4ff5-9291-5843626bc47f,0.8866677479523153,0.8366933648634561,0.8867034249437298,0.8469381642426216,0.8507879030604528
127,127,mros,56,586,cbbd9c8b-493f-4d1d-976b-e02eaa33d619,0.7252177592447652,0.5819145209832585,0.7591299250640714,0.5820087602233011,0.6476575019699183
128,128,dodo,112,55,d2551669-752b-48b0-bf82-0b0cc01ec62b,0.8305094297092194,0.7622217424433481,0.8394034212680994,0.7823428239177768,0.8341441658217732
129,129,mesa,224,2053,68099314-e53f-4d3f-b233-d45be662f3db,0.8142836406198878,0.7298542067441974,0.8126512962813317,0.7226666438832638,0.7264659144301142
130,130,mesa,28,2053,6ca3dc4e-3f01-4364-bf9c-d9cdd748c3c9,0.7870352876481711,0.6876919027654307,0.7753284182864632,0.6521530018181984,0.6647237763330616
131,131,mass,56,115,2f9f660b-0534-43f1-a0e4-f8c158d47127,0.8049995479613055,0.7244956106342909,0.8028927544584654,0.7582048342290013,0.7637537144776142
132,132,dodo,896,55,c701701c-9c08-4c0f-ae48-ea0bd2b4570e,0.8471710872342024,0.7845601787109948,0.8539092749372433,0.7983546648205099,0.8448250887099297
133,133,mesa,448,2053,d81550de-064c-4bbc-9afc-50c93a84a6b4,0.8257682931886989,0.7481017421293303,0.8264233082001418,0.737459932863723,0.7455760163252285
134,134,mros,56,586,f9add18f-e598-4574-b6f7-62f743a08359,0.8151200443739957,0.6982274372866366,0.8194020697538215,0.6387148749822089,0.657270417589802
135,135,dodo,448,55,4ecae395-8dfb-430d-85cd-da584f0529d9,0.8283868059208055,0.7618085068183332,0.8398711124218781,0.7861898514815648,0.8525446900642745
136,136,cap,112,106,fff4fb12-a6f2-4ecb-9c5d-1ae109747e08,0.7040001510203311,0.6058466776586651,0.7080053111080841,0.646106832780337,0.6584645281931341
137,137,mros,896,586,52a17286-9358-41f3-b749-2d03b3440ae5,0.8614332099017151,0.7743817912719234,0.8691357984160009,0.7274405969930821,0.7630925706017382
138,138,mros,448,586,36d41fd7-b169-4553-b81f-b66e7ea5a049,0.8500503153754579,0.7570512344341604,0.8591904325996153,0.7130559892408468,0.7621244058525571
139,139,mesa,896,2053,5fbd46ef-efc9-4837-8c2a-3a33937f32b7,0.8333072205044076,0.7581290122955735,0.8325759298222974,0.7449554272910531,0.7533224846549814
140,140,shhs,28,2651,f709269e-6097-437f-8097-3a8c09590104,0.7893953401756109,0.698170864830286,0.7912062480147755,0.6779137018549578,0.6766210784231174
141,141,cap,448,106,2762f179-bcb6-4c63-aafe-b0a628cec0c1,0.6972419912030657,0.5927964141992811,0.7005608426085292,0.6436369717932573,0.6521817108509145
142,142,sleep_edf,56,197,386b92c2-d529-4015-90d1-bf293ae44dbb,0.8042718544592055,0.7325761978146129,0.7947277415680792,0.7332329489672349,0.7439252740264041
143,143,dodh,896,25,3918f2e3-3f02-4747-8df7-1818862a5e7c,0.8856134944448951,0.8364436812910937,0.8857236853912139,0.8418028943980904,0.8518556995763623
144,144,shhs,112,2651,a015cdb7-bf84-43ba-a00b-f70d81ab1395,0.7994335256078952,0.7184891455254888,0.8091452439088991,0.7035949600986287,0.7348316943775226
145,145,dodo,224,55,edde6e50-f59f-4f5a-9373-96bf8f85033a,0.8377038094522503,0.772287511415928,0.8482389590113629,0.7932150966039563,0.8488462213927459
146,146,mass,56,115,ab74ee85-5d35-4312-8bfd-085c53a56812,0.8086520206129645,0.7316424783518225,0.8076928284213395,0.7666508645422629,0.7798768254739465
147,147,cap,28,106,b2e54c24-3d41-42dd-afb2-5dbd95bf0792,0.6949766862363845,0.5969211771995089,0.7061315240235718,0.641086391682941,0.6553003511503847
148,148,mass,112,115,fbf5e62e-171b-4f71-b057-6d103ac9d6e9,0.8058132176114275,0.7271649280105932,0.8060467445580486,0.7676361147432053,0.7799510889572232
149,149,mass,896,115,56d89f01-da20-4f5a-993e-d49c8ea2f108,0.8259018171955519,0.7579897067842666,0.8250753751187406,0.7895802653337409,0.8119197951284531
150,150,dodh,448,25,7a0e1637-4c78-42f8-b9bb-7b10738e00d4,0.8903170870164626,0.842390305629398,0.8898929271559308,0.8502883621208704,0.8547997340784874
151,151,dodo,28,55,489ae357-37cf-4117-bf1a-83d8ba84137d,0.8187880381696596,0.7357567666292192,0.8203593400896458,0.7491370844421349,0.7538656329684462
152,152,mros,112,586,60a22fec-b9e1-44e3-9f85-5502983a4adf,0.7927730020191922,0.6684069539252915,0.8064487825703514,0.6182824493859553,0.6614600482748036
153,153,dodh,28,25,92c40fee-1506-40df-96dc-747566154fd2,0.8582029032519666,0.795605709511354,0.8579109254240121,0.813218683628979,0.8152268883408403
154,154,cap,56,106,a777323a-4cea-4f6e-b42f-4f63b2025b11,0.6803654692012913,0.5670463232155327,0.6742891508841707,0.6191357481877088,0.6245001307211554
155,155,mesa,112,2053,bf73f8d6-75af-4bd1-8f80-b4a0865642a7,0.7970196045903282,0.7043240812174807,0.7903537719551965,0.6812485103393147,0.7005538997552029
156,156,cap,224,106,7c465b45-8e48-41c1-8180-979d9ac41494,0.7069922413304891,0.6073697697618343,0.7124890125243271,0.6509366637392449,0.6587341039884433
157,157,mros,14,586,900f5d2c-8aea-49c2-aea5-1baa5c3fa80d,0.6393363193699945,0.4580899023257418,0.6759847739513675,0.4845349207647328,0.5719344565863236
158,158,mesa,896,2053,a5d4ba48-5056-4de0-a171-210880a186a8,0.8415162490918112,0.7696165368846661,0.8405457829827327,0.7520737412084115,0.7582889154669735
159,159,sleep_edf,28,197,c3c910bd-684f-4d5a-8552-6fe11dc47431,0.7712005181063885,0.6863151966374259,0.7605629689175731,0.6945291671243277,0.708203522425565
160,160,cap,14,106,6ceb50b8-fb44-46a5-8610-c83593396b08,0.655192267759047,0.5401814190826586,0.6578758702953431,0.5924641922045885,0.6031214403174431
161,161,cap,56,106,c6f7d417-3070-4ed3-8b68-b8f0773f68e9,0.6708323107998414,0.5588641049321146,0.6686909924824689,0.6098359161981739,0.6207668708195895
162,162,dodh,224,25,099094de-d549-4ddf-97c8-28457916520c,0.8777471413510665,0.8264445977658136,0.8787296989302121,0.8408237308050307,0.858747037130177
163,163,mass,14,115,ca68afc6-deef-4cba-a84d-daf322b94615,0.7238133984269054,0.599264176126723,0.7092682364750734,0.6407244347571709,0.6423785846462569
164,164,cap,224,106,e04e8c00-9c60-4ec9-9baa-77facc7ab228,0.7120419836520492,0.6152972345705245,0.7169761011082121,0.6556259171684352,0.6663317257785926
165,165,shhs,224,2651,73aec80a-c515-4062-8aa5-439dcf8190f3,0.84147178905309,0.7761080208267714,0.8475262344896418,0.7480126937640066,0.7738480903972884
166,166,mesa,56,2053,8c8ad901-4ac0-4aca-8906-007c5197dbf3,0.7727312175797708,0.6727940685621576,0.7668908731038785,0.6518669711975319,0.6741418356395852
167,167,mesa,28,2053,57c01332-0c54-4862-9e33-ff876f0f1d53,0.7705511803766699,0.6655135428934974,0.7609978576877093,0.6395949940991571,0.6581699165555888
