,source,target,scorer,training_set_size,records in dataset,experiment_id,accuracy,cohen_kappa,f1,f1_macro,balanced_accuracy
0,dodo,mesa,scorer_5,55,2053,dodo_to_mesa,0.7500426253530992,0.6395744439595594,0.7513205360603719,0.6580835708265635,0.6678777247915738
1,dodo,mesa,scorer_2,55,2053,dodo_to_mesa,0.70537893554893,0.5945286031547914,0.7161016746082899,0.6219748356851992,0.696989729104791
2,dodo,mesa,scorer_3,55,2053,dodo_to_mesa,0.7351103113417232,0.6095173125250337,0.7202894209038763,0.586651499268185,0.601141211229847
3,dodo,mesa,scorer_4,55,2053,dodo_to_mesa,0.7445677635590864,0.6347317776820333,0.7455666353065431,0.631447439350717,0.6450965410882865
4,dodo,mesa,consensus,56,2053,dodo_to_mesa,0.7519073885481421,0.6468219517381832,0.7516767317477585,0.650163690618228,0.6751811502629701
5,dodo,mesa,scorer_1,55,2053,dodo_to_mesa,0.7054745545842607,0.5773986759317988,0.6980912770090495,0.5762393543389379,0.626703252252802
6,dodo,cap,scorer_4,55,106,dodo_to_cap,0.6491986483680365,0.5225161717939075,0.6409383129541933,0.589777256805196,0.5972312258161495
7,dodo,cap,consensus,212,106,dodo_to_cap,0.6960998999490307,0.5885924371053393,0.6938841616047281,0.631821763580036,0.6330886031655678
8,dodo,cap,scorer_5,55,106,dodo_to_cap,0.6732297585562457,0.5569894642634184,0.671278499534329,0.6046926172924898,0.604105797911771
9,dodo,cap,scorer_1,55,106,dodo_to_cap,0.6508598720102694,0.5170234423509896,0.6337176849446199,0.5465076082499123,0.5430606427672264
10,dodo,cap,scorer_2,55,106,dodo_to_cap,0.7244350895739339,0.629921022024094,0.7261710868041877,0.6606299907741003,0.6620024671284396
11,dodo,cap,scorer_3,55,106,dodo_to_cap,0.6538614010911219,0.5178375321095181,0.6315056317698671,0.5455051199420282,0.5413440985727064
12,dodh,mros,scorer_1,25,586,dodh_to_mros,0.6204894293863716,0.4517168649343455,0.6570479966896756,0.4931957806316947,0.5982343493479642
13,dodh,mros,consensus,25,586,dodh_to_mros,0.590961210024489,0.43046728129349743,0.6334120782064961,0.4796270202950684,0.617410459774045
14,dodh,mros,scorer_3,25,586,dodh_to_mros,0.5798359214510121,0.4199156500695851,0.6310958075677989,0.4679416803772255,0.6044442454500298
15,dodh,mros,scorer_5,25,586,dodh_to_mros,0.5803292094456978,0.41901547022358,0.6300421926836993,0.4510698282819313,0.5642467438325112
16,dodh,mros,scorer_4,25,586,dodh_to_mros,0.5017254117858561,0.30934283272432495,0.5308385171506016,0.4033864965134283,0.5325509688927956
17,dodh,mros,scorer_2,25,586,dodh_to_mros,0.5564113188767065,0.39251736231751644,0.5959682029900428,0.4602671491151046,0.5988016664793232
18,dodh,shhs,scorer_2,25,2651,dodh_to_shhs,0.635697323748231,0.513725315415763,0.6407241757241651,0.5677081516401515,0.6491925519013051
19,dodh,shhs,scorer_1,25,2651,dodh_to_shhs,0.6888282051903122,0.5757304833537359,0.6989730070282574,0.6168849902810155,0.673888056055135
20,dodh,shhs,scorer_3,25,2651,dodh_to_shhs,0.6472382014123482,0.5323394138898836,0.6666947949969011,0.5807541651792485,0.651431337710377
21,dodh,shhs,consensus,25,2651,dodh_to_shhs,0.678812039531155,0.5682082967678483,0.687880243253065,0.6068579248661431,0.6763909125333686
22,dodh,shhs,scorer_4,25,2651,dodh_to_shhs,0.6181673823617213,0.4801821920580399,0.6192076737878546,0.5388431011431021,0.5849054374600162
23,dodh,shhs,scorer_5,25,2651,dodh_to_shhs,0.6355151887676508,0.5160490581182033,0.6590044699842698,0.5676925640083686,0.6196604500082645
24,dodh,sleep_edf,scorer_3,25,197,dodh_to_sleep_edf,0.6885558204963224,0.5885926549744961,0.6900773748532472,0.6362509712040599,0.6760910714755383
25,dodh,sleep_edf,scorer_5,25,197,dodh_to_sleep_edf,0.70453637468512,0.6056114302666353,0.705660936760779,0.6481629368766854,0.6705791327041799
26,dodh,sleep_edf,scorer_4,25,197,dodh_to_sleep_edf,0.6403029576641476,0.5143808387494009,0.6221811592969465,0.5700928626423145,0.6154683463915495
27,dodh,sleep_edf,scorer_1,25,197,dodh_to_sleep_edf,0.7274810861730358,0.6315109276534816,0.7240660345552737,0.6717910634209805,0.6926788792254499
28,dodh,sleep_edf,consensus,25,197,dodh_to_sleep_edf,0.7055582890714036,0.604080948945963,0.700838296293649,0.652196980843482,0.6846506437472574
29,dodh,sleep_edf,scorer_2,25,197,dodh_to_sleep_edf,0.6986782399522266,0.5906940885212071,0.6957085050743417,0.6511749254374541,0.6697711508726333
30,dodh,cap,consensus,212,106,dodh_to_cap,0.678883582202254,0.5672806185665686,0.6807234101623666,0.6171339427810525,0.6195672449298437
31,dodh,cap,scorer_5,25,106,dodh_to_cap,0.651284616691522,0.5324148441237623,0.6474336873786031,0.5831849195814889,0.5941848964414523
32,dodh,cap,scorer_1,25,106,dodh_to_cap,0.6667264455477319,0.5509718705744939,0.6682775110663837,0.6016840605739683,0.6048436993353264
33,dodh,cap,scorer_3,25,106,dodh_to_cap,0.6548807883261284,0.5399910062917743,0.6556295459696462,0.5868814327473709,0.5982343909158006
34,dodh,cap,scorer_2,25,106,dodh_to_cap,0.66504634436411,0.5455016422255444,0.6704519337702568,0.6038751123320474,0.5991688095429618
35,dodh,cap,scorer_4,25,106,dodh_to_cap,0.648235893757197,0.5220978296492679,0.6423890810890522,0.5585487025015284,0.5557127136716756
36,dodo,mass,scorer_5,55,115,dodo_to_mass,0.8106409908688184,0.7291825339542292,0.8044891229882795,0.7576021968851858,0.7570181778699285
37,dodo,mass,scorer_2,55,115,dodo_to_mass,0.7688997378175572,0.6810289585951095,0.7685584365414748,0.7254842141662965,0.7571019997069581
38,dodo,mass,scorer_1,55,115,dodo_to_mass,0.7548865382876774,0.649134035718639,0.7318786647222084,0.6631578779908118,0.6901342207829965
39,dodo,mass,scorer_4,55,115,dodo_to_mass,0.8190850736823072,0.735396586373402,0.8118182740606906,0.7602207833816169,0.7381915757785475
40,dodo,mass,scorer_3,55,115,dodo_to_mass,0.7609257752463611,0.6450951100792857,0.7328945415465324,0.658867008039545,0.6611921407947101
41,dodo,mass,consensus,56,112,dodo_to_mass,0.8097127248401962,0.7264943970720472,0.8019764872972768,0.7524723987860522,0.7495773997265424
42,dodo,shhs,consensus,56,2651,dodo_to_shhs,0.7652638708055871,0.6716848644975203,0.7699771485165968,0.6621066417660685,0.6938241871817494
43,dodo,shhs,scorer_1,55,2651,dodo_to_shhs,0.6942570229707128,0.5718053550726234,0.6947023600156852,0.5784411198160606,0.602134777247415
44,dodo,shhs,scorer_4,55,2651,dodo_to_shhs,0.727472592460241,0.616587262854347,0.7287755634220088,0.6106216313574216,0.6429672911835319
45,dodo,shhs,scorer_5,55,2651,dodo_to_shhs,0.7468801913581199,0.6450050863360157,0.7523965421723928,0.6464623955042434,0.6722703311871546
46,dodo,shhs,scorer_2,55,2651,dodo_to_shhs,0.7356862824048487,0.6411568309844724,0.7482141003237865,0.6525459205451801,0.7120314236406242
47,dodo,shhs,scorer_3,55,2651,dodo_to_shhs,0.7275631880982497,0.6100624101185694,0.7217572204966625,0.5913255730151998,0.595550622405011
48,dodh,mesa,scorer_2,25,2053,dodh_to_mesa,0.6263396265251044,0.49287884064654,0.6300408678615421,0.5681917633197001,0.6449682065061146
49,dodh,mesa,consensus,25,2053,dodh_to_mesa,0.6522020795028117,0.5259763431575335,0.6580219208858997,0.5884695048143647,0.6666023844403259
50,dodh,mesa,scorer_1,25,2053,dodh_to_mesa,0.6816646467625468,0.5548394616017527,0.6875232539248319,0.6069884428288163,0.6526869117417812
51,dodh,mesa,scorer_4,25,2053,dodh_to_mesa,0.5705825925738187,0.4127082413975781,0.5652740317291768,0.4988361828861061,0.5752221071024516
52,dodh,mesa,scorer_3,25,2053,dodh_to_mesa,0.648004826265205,0.529426645053698,0.6671852090728384,0.5856919248292629,0.6605809690746381
53,dodh,mesa,scorer_5,25,2053,dodh_to_mesa,0.6480528277889653,0.524913790351299,0.6684905599872677,0.5764802912625777,0.6291442181556627
54,dodh,mass,consensus,25,112,dodh_to_mass,0.7781050245280214,0.6893856101043518,0.7765244484628198,0.7309530102523526,0.749678516926084
55,dodh,mass,scorer_5,25,115,dodh_to_mass,0.7461531507097008,0.6456101869815051,0.7445007826421884,0.6902499337269088,0.706033094265479
56,dodh,mass,scorer_3,25,115,dodh_to_mass,0.7772805352138143,0.6917544289858247,0.7768691321215642,0.7322838167060923,0.7548385373127118
57,dodh,mass,scorer_4,25,115,dodh_to_mass,0.7423469849019076,0.6409086659776658,0.7266483417524837,0.6632867681924497,0.7004415266924038
58,dodh,mass,scorer_2,25,115,dodh_to_mass,0.7705361178916915,0.6745519663143658,0.7706597125023943,0.7222477873829588,0.7284962763861
59,dodh,mass,scorer_1,25,115,dodh_to_mass,0.7648675526625079,0.668437787391323,0.7642734485744717,0.7161739685779345,0.7268536564629742
60,dodo,sleep_edf,scorer_4,55,197,dodo_to_sleep_edf,0.7955750686533019,0.7159747901723024,0.7859390889920063,0.7216098291457669,0.7078108376202753
61,dodo,sleep_edf,scorer_1,55,197,dodo_to_sleep_edf,0.7276072484429473,0.624443778998317,0.7007657310171509,0.6214911014645736,0.6567830288707386
62,dodo,sleep_edf,consensus,56,197,dodo_to_sleep_edf,0.7924336281325041,0.7162895782121375,0.7816056244045487,0.717878450064845,0.7316827511876832
63,dodo,sleep_edf,scorer_2,55,197,dodo_to_sleep_edf,0.7674198554180387,0.6887561841874289,0.7613658943154195,0.6997696576162529,0.7402288780534182
64,dodo,sleep_edf,scorer_5,55,197,dodo_to_sleep_edf,0.7842877509052143,0.704313105150929,0.7727048153149872,0.7085709298746538,0.719513929666008
65,dodo,sleep_edf,scorer_3,55,197,dodo_to_sleep_edf,0.7671044497432598,0.6742549067392323,0.7352500407184681,0.6449275030784521,0.6663791401483353
66,dodo,mros,scorer_4,55,586,dodo_to_mros,0.6970477261615836,0.5467698292362149,0.7259395248152669,0.5374123797893389,0.5714482701848622
67,dodo,mros,scorer_3,55,586,dodo_to_mros,0.6851156376679097,0.5095777755662136,0.702441113102533,0.49460010088071604,0.5279181841832108
68,dodo,mros,scorer_2,55,586,dodo_to_mros,0.671694915625829,0.5214106524527814,0.7117912037526473,0.5431527826144569,0.6464765210800256
69,dodo,mros,scorer_1,55,586,dodo_to_mros,0.6460099578403193,0.4541820467960974,0.6727133406986208,0.4785469930750792,0.5526306946339509
70,dodo,mros,scorer_5,55,586,dodo_to_mros,0.7014610094207046,0.5475365263459512,0.7329795394254217,0.5484636659035494,0.5933266972387006
71,dodo,mros,consensus,56,586,dodo_to_mros,0.7058907356129815,0.5658661773007052,0.7387116647184016,0.5594935201987583,0.6340894118130949
